GCN circular,MJD (mid),Filter,t-t0 (in hours),t-t0 (seconds),Total Exposure Time (sec),Magnitude (AB),Error bar (Mag),Flux (microJy),Error bar (Flux),Luminosity,Frequency Band,Comment
40942,,,0.34,,16 min,20.46,0.06,23.77,1.28,,i,
40945,,,0.71,,,20.12,0.05,32.51,1.46,,z,
40960,,,4.68,,,20.40,,25.12,0.00,,b,
40960,,,4.68,,,20.40,,25.12,0.00,,r,
40958,,,6.10,,10 x 90s,20.20,0.03,30.20,0.82,,i,
40958,,,6.10,,10 x 90s,20.01,0.07,35.97,2.25,,z,
40962,60860.73944,r',9.47,3.4E+04,11 x 300,20.12,0.08,32.51,2.31,,r,
40965,,,10.29,,12 x 300s,19.90,,39.81,0.00,,i,
40999,60860.7729,,10.32,3.7E+04,6X300s,19.98,0.16,36.98,5.07,,v,
40974,,,12.48,4.5E+04,10 x 180,20.20,0.1,30.20,2.66,,r,
40974,,,12.48,4.5E+04,10 x 180,19.90,0.1,39.81,3.50,,i,
40974,,,12.48,4.5E+04,10 x 180,19.40,0.2,63.10,10.61,,J,
40962,60860.91939,i',13.79,5.0E+04,4 x 300,19.81,0.09,43.25,3.44,,i,
40962,60860.93637,r',14.20,5.1E+04,5 x 300,19.80,0.09,43.65,3.47,,r,
40963,,,15.00,,6 x 300s,20.80,0.18,17.38,2.65,,r,
40971,,,15.78,,6 x 300s,19.78,0.01,44.46,0.41,,i,
40974,,,17.28,6.2E+04,10 x 180,20.20,0.1,30.20,2.66,,r,
40974,,,17.28,6.2E+04,10 x 180,19.90,0.1,39.81,3.50,,i,
40974,,,17.28,6.2E+04,10 x 180,19.40,0.2,63.10,10.61,,J,
40966,,,18.80,,4 x 1200,20.00,,36.31,0.00,,r,
40975,,,20.00,7.2E+04,,20.20,,30.20,0.00,,g,
40975,,,20.00,7.2E+04,,20.10,,33.11,0.00,,r,
40975,,,20.00,7.2E+04,,20.00,,36.31,0.00,,i,
40970,,,20.00,,,19.50,,57.54,0.00,,J,
41024,,,32.81,1.2E+05,30 x 120,22.90,,2.51,0.00,,R,
41030,2460862.387,J,36.96,1.3E+05,1170,18.90,,100.00,0.00,,J,
40993,,,39.54,1.4E+05,3x300 s,21.56,0.14,8.63,1.04,,i,
41024,,,60.30,2.2E+05,52 x 60,21.20,,12.02,0.00,,R,
41030,2460864.217,r',80.88,2.9E+05,3600,21.80,,6.92,0.00,,ru,
41046,,,95.52,3.4E+05,,18.99,0.08,92.00,7,,10GHz,Jansky Very Large Array
41038,,,98.40,3.5E+05,1.25hr,18.46,,150.00,0.00,2e30 erg/s/Hz,6GHz,
41060,,,136.80,4.9E+05,2 hrs,19.29,,70.00,0.00,,1.3GHz,1.3 GHz MeerKAT Detection